Volts,Deg F,
4.0194,75,
3.9893,76,
3.9594,77,
3.9297,78,
3.9002,79,
3.8709,80,
3.8418,81,
3.8129,82,
3.7842,83,
3.7557,84,
3.7274,85,
3.6993,86,
3.6714,87,
3.6437,88,
3.6162,89,
3.5889,90,
3.5618,91,
3.5349,92,
3.5082,93,
3.4817,94,
3.4554,95,
3.4293,96,
3.4034,97,
3.3777,98,
3.3522,99,
3.3269,100,
3.3018,101,
3.2769,102,
3.2522,103,
3.2277,104,
3.2034,105,
3.1793,106,
3.1554,107,
3.1317,108,
3.1082,109,
3.0849,110,
3.0618,111,
3.0389,112,
3.0162,113,
2.9937,114,
2.9714,115,
2.9493,116,
2.9274,117,
2.9057,118,
2.8842,119,
2.8629,120,
2.8418,121,
2.8209,122,
2.8002,123,
2.7797,124,
2.7594,125,
2.7393,126,
2.7194,127,
2.6997,128,
2.6802,129,
2.6609,130,
2.6418,131,
2.6229,132,
2.6042,133,
2.5857,134,
2.5674,135,
2.5493,136,
2.5314,137,
2.5137,138,
2.4962,139,
2.4789,140,
2.4618,141,
2.4449,142,
2.4282,143,
2.4117,144,
2.3954,145,
2.3793,146,
2.3634,147,
2.3477,148,
2.3322,149,
2.3169,150,
2.3018,151,
2.2869,152,
2.2722,153,
2.2577,154,
2.2434,155,
2.2293,156,
2.2154,157,
2.2017,158,
2.1882,159,
2.1749,160,
2.1618,161,
2.1489,162,
2.1362,163,
2.1237,164,
2.1114,165,
2.0993,166,
2.0874,167,
2.0757,168,
2.0642,169,
2.0529,170,
2.0418,171,
2.0309,172,
2.0202,173,
2.0097,174,
1.9994,175,
1.9893,176,
1.9794,177,
1.9697,178,
1.9602,179,
1.9509,180,
1.9418,181,
1.9329,182,
1.9242,183,
1.9157,184,
1.9074,185,
1.8993,186,
1.8914,187,
1.8837,188,
1.8762,189,
1.8689,190,
1.8618,191,
1.8549,192,
1.8482,193,
1.8417,194,
1.8354,195,
1.8293,196,
1.8234,197,
1.8177,198,
1.8122,199,
1.8069,200,
1.8018,201,
1.7969,202,
1.7922,203,
1.7877,204,
1.7834,205,
1.7793,206,
1.7754,207,
1.7717,208,
1.7682,209,
1.7649,210,
1.7618,211,
1.7589,212,
1.7562,213,
1.7537,214,
1.7514,215,
1.7493,216,
1.7474,217,
1.7457,218,
1.7442,219,
1.7429,220,
