Volts,Deg F,
3.8575,75,
3.8258,76,
3.7942,77,
3.7628,78,
3.7314,79,
3.7002,80,
3.6690,81,
3.6380,82,
3.6071,83,
3.5763,84,
3.5456,85,
3.5150,86,
3.4846,87,
3.4542,88,
3.4240,89,
3.3939,90,
3.3639,91,
3.3340,92,
3.3042,93,
3.2745,94,
3.2449,95,
3.2155,96,
3.1861,97,
3.1569,98,
3.1420,99,
3.0890,100,
3.0699,101,
3.0360,102,
3.0125,103,
2.9780,104,
2.9555,105,
2.9310,106,
2.8989,107,
2.8860,108,
2.8380,109,
2.8149,110,
2.7900,111,
2.7595,112,
2.7420,113,
2.7045,114,
2.6930,115,
2.6500,116,
2.6420,117,
2.5900,118,
2.5690,119,
2.5370,120,
2.5156,121,
2.4820,122,
2.4626,123,
2.4370,124,
2.4101,125,
2.3930,126,
2.3490,127,
2.3322,128,
2.3040,129,
2.2808,130,
2.2550,131,
2.2298,132,
2.2120,133,
2.1793,134,
2.1670,135,
2.1292,136,
2.1044,137,
2.0796,138,
2.0550,139,
2.0305,140,
2.0061,141,
1.9818,142,
1.9576,143,
1.9335,144,
1.9095,145,
1.8857,146,
1.8619,147,
1.8383,148,
1.8148,149,
1.7914,150,
1.7681,151,
1.7449,152,
1.7219,153,
1.6989,154,
1.6761,155,
1.6533,156,
1.6307,157,
1.6082,158,
1.5858,159,
1.5635,160,
1.5413,161,
1.5193,162,
1.4973,163,
1.4755,164,
1.4538,165,
1.4322,166,
1.4107,167,
1.3893,168,
1.3680,169,
1.3468,170,
1.3258,171,
1.3048,172,
1.2840,173,
1.2633,174,
1.2427,175,
1.2222,176,
1.2018,177,
1.1816,178,
1.1614,179,
1.1414,180,
1.1214,181,
1.1016,182,
1.0819,183,
1.0623,184,
1.0428,185,
1.0234,186,
1.0042,187,
0.9850,188,
0.9660,189,
0.9471,190,
0.9283,191,
0.9096,192,
0.8910,193,
0.8725,194,
0.8541,195,
0.8359,196,
0.8177,197,
0.7997,198,
0.7818,199,
0.7640,200,
0.7463,201,
0.7287,202,
0.7113,203,
0.6939,204,
0.6767,205,
0.6595,206,
0.6425,207,
0.6256,208,
0.6088,209,
0.5921,210,
0.5755,211,
0.5591,212,
0.5427,213,
0.5265,214,
0.5104,215,
0.4944,216,
0.4785,217,
0.4627,218,
0.4470,219,
0.4314,220,
